"","lon","lat","energy","day","agent_id","distance","delta_energy"
"1",-112.24,52.24,10,1,"Agent_1",NA,NA
"2",-112.875003827945,52.2250007148185,0,2,"Agent_1",43.3257164393213,-10
"3",NA,NA,NA,3,"Agent_1",NA,NA
"4",NA,NA,NA,4,"Agent_1",NA,NA
"5",NA,NA,NA,5,"Agent_1",NA,NA
"6",NA,NA,NA,6,"Agent_1",NA,NA
"7",NA,NA,NA,7,"Agent_1",NA,NA
"8",NA,NA,NA,8,"Agent_1",NA,NA
"9",NA,NA,NA,9,"Agent_1",NA,NA
"10",NA,NA,NA,10,"Agent_1",NA,NA
"11",NA,NA,NA,11,"Agent_1",NA,NA
"12",NA,NA,NA,12,"Agent_1",NA,NA
"13",NA,NA,NA,13,"Agent_1",NA,NA
"14",NA,NA,NA,14,"Agent_1",NA,NA
"15",NA,NA,NA,15,"Agent_1",NA,NA
"16",NA,NA,NA,16,"Agent_1",NA,NA
"17",NA,NA,NA,17,"Agent_1",NA,NA
"18",NA,NA,NA,18,"Agent_1",NA,NA
"19",NA,NA,NA,19,"Agent_1",NA,NA
"20",NA,NA,NA,20,"Agent_1",NA,NA
"21",NA,NA,NA,21,"Agent_1",NA,NA
"22",NA,NA,NA,22,"Agent_1",NA,NA
"23",NA,NA,NA,23,"Agent_1",NA,NA
"24",NA,NA,NA,24,"Agent_1",NA,NA
"25",NA,NA,NA,25,"Agent_1",NA,NA
"26",NA,NA,NA,26,"Agent_1",NA,NA
"27",NA,NA,NA,27,"Agent_1",NA,NA
"28",-112.24,52.24,10,1,"Agent_2",NA,NA
"29",-112.92500382964,52.3250007088829,0,2,"Agent_2",47.5997451547803,-10
"30",NA,NA,NA,3,"Agent_2",NA,NA
"31",NA,NA,NA,4,"Agent_2",NA,NA
"32",NA,NA,NA,5,"Agent_2",NA,NA
"33",NA,NA,NA,6,"Agent_2",NA,NA
"34",NA,NA,NA,7,"Agent_2",NA,NA
"35",NA,NA,NA,8,"Agent_2",NA,NA
"36",NA,NA,NA,9,"Agent_2",NA,NA
"37",NA,NA,NA,10,"Agent_2",NA,NA
"38",NA,NA,NA,11,"Agent_2",NA,NA
"39",NA,NA,NA,12,"Agent_2",NA,NA
"40",NA,NA,NA,13,"Agent_2",NA,NA
"41",NA,NA,NA,14,"Agent_2",NA,NA
"42",NA,NA,NA,15,"Agent_2",NA,NA
"43",NA,NA,NA,16,"Agent_2",NA,NA
"44",NA,NA,NA,17,"Agent_2",NA,NA
"45",NA,NA,NA,18,"Agent_2",NA,NA
"46",NA,NA,NA,19,"Agent_2",NA,NA
"47",NA,NA,NA,20,"Agent_2",NA,NA
"48",NA,NA,NA,21,"Agent_2",NA,NA
"49",NA,NA,NA,22,"Agent_2",NA,NA
"50",NA,NA,NA,23,"Agent_2",NA,NA
"51",NA,NA,NA,24,"Agent_2",NA,NA
"52",NA,NA,NA,25,"Agent_2",NA,NA
"53",NA,NA,NA,26,"Agent_2",NA,NA
"54",NA,NA,NA,27,"Agent_2",NA,NA
"55",-112.24,52.24,10,1,"Agent_3",NA,NA
"56",-112.775003824553,52.1750007177863,0,2,"Agent_3",37.2066085242107,-10
"57",NA,NA,NA,3,"Agent_3",NA,NA
"58",NA,NA,NA,4,"Agent_3",NA,NA
"59",NA,NA,NA,5,"Agent_3",NA,NA
"60",NA,NA,NA,6,"Agent_3",NA,NA
"61",NA,NA,NA,7,"Agent_3",NA,NA
"62",NA,NA,NA,8,"Agent_3",NA,NA
"63",NA,NA,NA,9,"Agent_3",NA,NA
"64",NA,NA,NA,10,"Agent_3",NA,NA
"65",NA,NA,NA,11,"Agent_3",NA,NA
"66",NA,NA,NA,12,"Agent_3",NA,NA
"67",NA,NA,NA,13,"Agent_3",NA,NA
"68",NA,NA,NA,14,"Agent_3",NA,NA
"69",NA,NA,NA,15,"Agent_3",NA,NA
"70",NA,NA,NA,16,"Agent_3",NA,NA
"71",NA,NA,NA,17,"Agent_3",NA,NA
"72",NA,NA,NA,18,"Agent_3",NA,NA
"73",NA,NA,NA,19,"Agent_3",NA,NA
"74",NA,NA,NA,20,"Agent_3",NA,NA
"75",NA,NA,NA,21,"Agent_3",NA,NA
"76",NA,NA,NA,22,"Agent_3",NA,NA
"77",NA,NA,NA,23,"Agent_3",NA,NA
"78",NA,NA,NA,24,"Agent_3",NA,NA
"79",NA,NA,NA,25,"Agent_3",NA,NA
"80",NA,NA,NA,26,"Agent_3",NA,NA
"81",NA,NA,NA,27,"Agent_3",NA,NA
"82",-112.24,52.24,10,1,"Agent_4",NA,NA
"83",-112.225003805901,52.1250007207541,5,2,"Agent_4",12.8425162831225,-5
"84",-112.325003809292,51.9250007326254,0,3,"Agent_4",23.293754210635,-5
"85",NA,NA,NA,4,"Agent_4",NA,NA
"86",NA,NA,NA,5,"Agent_4",NA,NA
"87",NA,NA,NA,6,"Agent_4",NA,NA
"88",NA,NA,NA,7,"Agent_4",NA,NA
"89",NA,NA,NA,8,"Agent_4",NA,NA
"90",NA,NA,NA,9,"Agent_4",NA,NA
"91",NA,NA,NA,10,"Agent_4",NA,NA
"92",NA,NA,NA,11,"Agent_4",NA,NA
"93",NA,NA,NA,12,"Agent_4",NA,NA
"94",NA,NA,NA,13,"Agent_4",NA,NA
"95",NA,NA,NA,14,"Agent_4",NA,NA
"96",NA,NA,NA,15,"Agent_4",NA,NA
"97",NA,NA,NA,16,"Agent_4",NA,NA
"98",NA,NA,NA,17,"Agent_4",NA,NA
"99",NA,NA,NA,18,"Agent_4",NA,NA
"100",NA,NA,NA,19,"Agent_4",NA,NA
"101",NA,NA,NA,20,"Agent_4",NA,NA
"102",NA,NA,NA,21,"Agent_4",NA,NA
"103",NA,NA,NA,22,"Agent_4",NA,NA
"104",NA,NA,NA,23,"Agent_4",NA,NA
"105",NA,NA,NA,24,"Agent_4",NA,NA
"106",NA,NA,NA,25,"Agent_4",NA,NA
"107",NA,NA,NA,26,"Agent_4",NA,NA
"108",NA,NA,NA,27,"Agent_4",NA,NA
"109",-112.24,52.24,10,1,"Agent_5",NA,NA
"110",-111.525003782162,52.4750006999795,5,2,"Agent_5",55.2019215305592,-5
"111",-111.77500379064,52.0750007237219,0,3,"Agent_5",47.6726434639643,-5
"112",NA,NA,NA,4,"Agent_5",NA,NA
"113",NA,NA,NA,5,"Agent_5",NA,NA
"114",NA,NA,NA,6,"Agent_5",NA,NA
"115",NA,NA,NA,7,"Agent_5",NA,NA
"116",NA,NA,NA,8,"Agent_5",NA,NA
"117",NA,NA,NA,9,"Agent_5",NA,NA
"118",NA,NA,NA,10,"Agent_5",NA,NA
"119",NA,NA,NA,11,"Agent_5",NA,NA
"120",NA,NA,NA,12,"Agent_5",NA,NA
"121",NA,NA,NA,13,"Agent_5",NA,NA
"122",NA,NA,NA,14,"Agent_5",NA,NA
"123",NA,NA,NA,15,"Agent_5",NA,NA
"124",NA,NA,NA,16,"Agent_5",NA,NA
"125",NA,NA,NA,17,"Agent_5",NA,NA
"126",NA,NA,NA,18,"Agent_5",NA,NA
"127",NA,NA,NA,19,"Agent_5",NA,NA
"128",NA,NA,NA,20,"Agent_5",NA,NA
"129",NA,NA,NA,21,"Agent_5",NA,NA
"130",NA,NA,NA,22,"Agent_5",NA,NA
"131",NA,NA,NA,23,"Agent_5",NA,NA
"132",NA,NA,NA,24,"Agent_5",NA,NA
"133",NA,NA,NA,25,"Agent_5",NA,NA
"134",NA,NA,NA,26,"Agent_5",NA,NA
"135",NA,NA,NA,27,"Agent_5",NA,NA
"136",-112.24,52.24,10,1,"Agent_6",NA,NA
"137",-112.975003831336,52.2750007118507,0,2,"Agent_6",50.2344116156043,-10
"138",NA,NA,NA,3,"Agent_6",NA,NA
"139",NA,NA,NA,4,"Agent_6",NA,NA
"140",NA,NA,NA,5,"Agent_6",NA,NA
"141",NA,NA,NA,6,"Agent_6",NA,NA
"142",NA,NA,NA,7,"Agent_6",NA,NA
"143",NA,NA,NA,8,"Agent_6",NA,NA
"144",NA,NA,NA,9,"Agent_6",NA,NA
"145",NA,NA,NA,10,"Agent_6",NA,NA
"146",NA,NA,NA,11,"Agent_6",NA,NA
"147",NA,NA,NA,12,"Agent_6",NA,NA
"148",NA,NA,NA,13,"Agent_6",NA,NA
"149",NA,NA,NA,14,"Agent_6",NA,NA
"150",NA,NA,NA,15,"Agent_6",NA,NA
"151",NA,NA,NA,16,"Agent_6",NA,NA
"152",NA,NA,NA,17,"Agent_6",NA,NA
"153",NA,NA,NA,18,"Agent_6",NA,NA
"154",NA,NA,NA,19,"Agent_6",NA,NA
"155",NA,NA,NA,20,"Agent_6",NA,NA
"156",NA,NA,NA,21,"Agent_6",NA,NA
"157",NA,NA,NA,22,"Agent_6",NA,NA
"158",NA,NA,NA,23,"Agent_6",NA,NA
"159",NA,NA,NA,24,"Agent_6",NA,NA
"160",NA,NA,NA,25,"Agent_6",NA,NA
"161",NA,NA,NA,26,"Agent_6",NA,NA
"162",NA,NA,NA,27,"Agent_6",NA,NA
"163",-112.24,52.24,10,1,"Agent_7",NA,NA
"164",-111.725003788945,52.2750007118507,10,2,"Agent_7",35.3075031539202,0
"165",-111.275003773684,52.1250007207541,0,3,"Agent_7",34.9496480545611,-10
"166",NA,NA,NA,4,"Agent_7",NA,NA
"167",NA,NA,NA,5,"Agent_7",NA,NA
"168",NA,NA,NA,6,"Agent_7",NA,NA
"169",NA,NA,NA,7,"Agent_7",NA,NA
"170",NA,NA,NA,8,"Agent_7",NA,NA
"171",NA,NA,NA,9,"Agent_7",NA,NA
"172",NA,NA,NA,10,"Agent_7",NA,NA
"173",NA,NA,NA,11,"Agent_7",NA,NA
"174",NA,NA,NA,12,"Agent_7",NA,NA
"175",NA,NA,NA,13,"Agent_7",NA,NA
"176",NA,NA,NA,14,"Agent_7",NA,NA
"177",NA,NA,NA,15,"Agent_7",NA,NA
"178",NA,NA,NA,16,"Agent_7",NA,NA
"179",NA,NA,NA,17,"Agent_7",NA,NA
"180",NA,NA,NA,18,"Agent_7",NA,NA
"181",NA,NA,NA,19,"Agent_7",NA,NA
"182",NA,NA,NA,20,"Agent_7",NA,NA
"183",NA,NA,NA,21,"Agent_7",NA,NA
"184",NA,NA,NA,22,"Agent_7",NA,NA
"185",NA,NA,NA,23,"Agent_7",NA,NA
"186",NA,NA,NA,24,"Agent_7",NA,NA
"187",NA,NA,NA,25,"Agent_7",NA,NA
"188",NA,NA,NA,26,"Agent_7",NA,NA
"189",NA,NA,NA,27,"Agent_7",NA,NA
"190",-112.24,52.24,10,1,"Agent_8",NA,NA
"191",-112.975003831336,52.2750007118507,0,2,"Agent_8",50.2344116156043,-10
"192",NA,NA,NA,3,"Agent_8",NA,NA
"193",NA,NA,NA,4,"Agent_8",NA,NA
"194",NA,NA,NA,5,"Agent_8",NA,NA
"195",NA,NA,NA,6,"Agent_8",NA,NA
"196",NA,NA,NA,7,"Agent_8",NA,NA
"197",NA,NA,NA,8,"Agent_8",NA,NA
"198",NA,NA,NA,9,"Agent_8",NA,NA
"199",NA,NA,NA,10,"Agent_8",NA,NA
"200",NA,NA,NA,11,"Agent_8",NA,NA
"201",NA,NA,NA,12,"Agent_8",NA,NA
"202",NA,NA,NA,13,"Agent_8",NA,NA
"203",NA,NA,NA,14,"Agent_8",NA,NA
"204",NA,NA,NA,15,"Agent_8",NA,NA
"205",NA,NA,NA,16,"Agent_8",NA,NA
"206",NA,NA,NA,17,"Agent_8",NA,NA
"207",NA,NA,NA,18,"Agent_8",NA,NA
"208",NA,NA,NA,19,"Agent_8",NA,NA
"209",NA,NA,NA,20,"Agent_8",NA,NA
"210",NA,NA,NA,21,"Agent_8",NA,NA
"211",NA,NA,NA,22,"Agent_8",NA,NA
"212",NA,NA,NA,23,"Agent_8",NA,NA
"213",NA,NA,NA,24,"Agent_8",NA,NA
"214",NA,NA,NA,25,"Agent_8",NA,NA
"215",NA,NA,NA,26,"Agent_8",NA,NA
"216",NA,NA,NA,27,"Agent_8",NA,NA
"217",-112.24,52.24,10,1,"Agent_9",NA,NA
"218",-112.92500382964,52.2750007118507,0,2,"Agent_9",46.8384517789982,-10
"219",NA,NA,NA,3,"Agent_9",NA,NA
"220",NA,NA,NA,4,"Agent_9",NA,NA
"221",NA,NA,NA,5,"Agent_9",NA,NA
"222",NA,NA,NA,6,"Agent_9",NA,NA
"223",NA,NA,NA,7,"Agent_9",NA,NA
"224",NA,NA,NA,8,"Agent_9",NA,NA
"225",NA,NA,NA,9,"Agent_9",NA,NA
"226",NA,NA,NA,10,"Agent_9",NA,NA
"227",NA,NA,NA,11,"Agent_9",NA,NA
"228",NA,NA,NA,12,"Agent_9",NA,NA
"229",NA,NA,NA,13,"Agent_9",NA,NA
"230",NA,NA,NA,14,"Agent_9",NA,NA
"231",NA,NA,NA,15,"Agent_9",NA,NA
"232",NA,NA,NA,16,"Agent_9",NA,NA
"233",NA,NA,NA,17,"Agent_9",NA,NA
"234",NA,NA,NA,18,"Agent_9",NA,NA
"235",NA,NA,NA,19,"Agent_9",NA,NA
"236",NA,NA,NA,20,"Agent_9",NA,NA
"237",NA,NA,NA,21,"Agent_9",NA,NA
"238",NA,NA,NA,22,"Agent_9",NA,NA
"239",NA,NA,NA,23,"Agent_9",NA,NA
"240",NA,NA,NA,24,"Agent_9",NA,NA
"241",NA,NA,NA,25,"Agent_9",NA,NA
"242",NA,NA,NA,26,"Agent_9",NA,NA
"243",NA,NA,NA,27,"Agent_9",NA,NA
"244",-112.24,52.24,10,1,"Agent_10",NA,NA
"245",-112.325003809292,52.1750007177863,0,2,"Agent_10",9.27254577806966,-10
"246",NA,NA,NA,3,"Agent_10",NA,NA
"247",NA,NA,NA,4,"Agent_10",NA,NA
"248",NA,NA,NA,5,"Agent_10",NA,NA
"249",NA,NA,NA,6,"Agent_10",NA,NA
"250",NA,NA,NA,7,"Agent_10",NA,NA
"251",NA,NA,NA,8,"Agent_10",NA,NA
"252",NA,NA,NA,9,"Agent_10",NA,NA
"253",NA,NA,NA,10,"Agent_10",NA,NA
"254",NA,NA,NA,11,"Agent_10",NA,NA
"255",NA,NA,NA,12,"Agent_10",NA,NA
"256",NA,NA,NA,13,"Agent_10",NA,NA
